orderDate,total_sales
2003-01-06,10223.83
2003-01-09,10549.01
2003-01-10,5494.78
2003-01-29,50218.95
2003-01-31,40206.20
2003-02-11,53959.21
2003-02-17,52151.81
2003-02-24,22292.62
2003-03-03,51001.22
2003-03-10,25833.14
2003-03-18,48425.69
2003-03-25,16537.85
2003-03-24,7674.94
2003-03-26,11044.30
2003-04-01,33383.14
2003-04-04,21665.98
2003-04-11,1627.56
2003-04-16,44380.15
2003-04-21,3101.40
2003-04-28,35826.33
2003-04-29,45864.03
2003-05-07,16700.47
2003-05-08,50824.66
2003-05-20,14571.44
2003-05-21,40207.06
2003-05-28,57131.92
2003-06-03,58841.35
2003-06-06,13884.99
2003-06-12,29429.14
2003-06-16,23069.25
2003-06-25,2880.00
2003-06-27,22366.04
2003-07-01,23419.47
2003-07-02,55601.84
2003-07-04,14232.70
2003-07-10,13920.26
2003-07-07,32077.44
2003-07-16,24013.52
2003-07-24,38675.13
2003-08-01,29716.86
2003-08-08,56052.56
2003-08-10,41016.75
2003-08-13,1128.20
2003-08-25,50342.74
2003-09-03,6631.36
2003-09-05,32680.31
2003-09-11,41554.73
2003-09-12,29997.09
2003-09-19,38350.15
2003-09-21,32723.04
2003-09-25,9821.32
2003-09-28,44939.85
2003-10-02,4465.85
2003-10-06,61510.72
2003-10-08,4599.52
2003-10-09,17746.26
2003-10-10,56174.06
2003-10-11,20452.50
2003-10-17,36164.46
2003-10-18,30876.44
2003-10-20,22042.37
2003-10-21,37099.75
2003-10-22,67392.85
2003-10-23,44167.09
2003-10-28,50743.65
2003-11-04,53678.16
2003-11-05,79512.71
2003-11-06,99916.59
2003-11-07,31428.21
2003-11-08,33818.34
2003-11-11,65747.41
2003-11-12,100153.93
2003-11-13,34606.28
2003-11-14,122337.41
2003-11-15,28287.73
2003-11-18,33834.87
2003-11-19,10721.86
2003-11-20,83414.24
2003-11-21,35505.63
2003-11-25,75804.50
2003-11-26,78613.04
2003-11-27,20644.24
2003-12-01,48795.24
2003-12-02,119076.10
2003-12-03,13059.16
2003-12-05,36527.61
2003-12-09,59265.14
2004-01-02,49614.72
2004-01-09,21053.69
2004-01-12,47177.59
2004-01-15,49165.16
2004-01-16,59830.55
2004-01-22,7310.42
2004-01-26,22162.61
2004-01-29,36070.47
2004-02-02,5759.42
2004-02-04,22474.17
2004-02-09,7612.06
2004-02-10,12573.28
2004-02-12,32538.74
2004-02-18,16901.38
2004-02-19,56822.65
2004-02-20,44894.74
2004-02-21,18997.89
2004-02-22,47375.92
2004-02-26,23552.59
2004-03-02,40978.53
2004-03-10,20355.24
2004-03-11,43369.30
2004-03-15,33820.62
2004-03-19,15322.93
2004-03-20,24995.61
2004-03-29,7178.66
2004-03-30,31670.37
2004-04-02,29284.42
2004-04-03,5899.38
2004-04-05,22602.36
2004-04-09,28211.70
2004-04-12,16212.59
2004-04-13,51252.89
2004-04-20,1679.92
2004-04-26,6276.60
2004-04-29,26155.91
2004-05-04,32239.47
2004-05-05,63815.28
2004-05-07,41445.21
2004-05-08,11843.45
2004-05-11,42798.08
2004-05-18,31102.85
2004-05-26,25080.96
2004-06-01,45443.54
2004-06-03,37281.36
2004-06-04,4632.31
2004-06-08,4710.73
2004-06-14,16753.30
2004-06-15,66198.83
2004-06-16,37769.38
2004-06-17,22997.45
2004-06-24,47065.36
2004-06-28,42044.77
2004-06-30,18473.71
2004-07-02,9415.13
2004-07-06,51619.02
2004-07-07,20314.44
2004-07-12,35034.57
2004-07-16,6419.84
2004-07-19,35806.73
2004-07-20,61146.59
2004-07-21,57882.98
2004-07-23,47924.19
2004-08-02,51152.86
